Tallahassee,FL,32303,Rush Hour,453998
Frederick,MD,21703,Chopsticks Express,722511
Salt Lake City,UT,84111,Al Rounds Studio,712110
Terre Haute,IN,47802,Trigon Corporation,339910
Temple Hills,MD,20748,Echo For Men,446120
Grand Rapids,MI,49512,Suki Hana Of Woodland,722511
Mankato,MN,56001,Mankato Clinic,621399
Burlington,NC,27215,Solteria,448210
Birmingham,AL,35243,Mountain High Outfitters,451110
Fort Collins,CO,80525,Cozy Cottage,423220
Arcadia,CA,91007,Closet Signature,448190
Gurnee,IL,60031,Belvidere Blues,448110
Olympia,WA,98502,Reminiscent Confections,445292
Cerritos,CA,90703,Mac At Los Cerritos Center,446120
Elizabethtown,KY,42701,Tatu,812199
Evansville,IN,47715,Club Tabby,713940
Terre Haute,IN,47802,Fannie May Confections,445292
Santa Maria,CA,93454,Semplici Italian Eatery,722513
Auburn,WA,98001,Alley Kat,448140
