Tallahassee,FL,32303,Rush Hour,453998
Frederick,MD,21703,Chopsticks Express,722511
Salt Lake City,UT,84111,Al Rounds Studio,712110
Terre Haute,IN,47802,Trigon Corporation,339910
Temple Hills,MD,20748,Echo For Men,446120
Grand Rapids,MI,49512,Suki Hana Of Woodland,722511
Mankato,MN,56001,Mankato Clinic,621399
Burlington,NC,27215,Solteria,448210
Birmingham,AL,35243,Mountain High Outfitters,451110
Fort Collins,CO,80525,Cozy Cottage,423220
Arcadia,CA,91007,Closet Signature,448190
Gurnee,IL,60031,Belvidere Blues,448110
Olympia,WA,98502,Reminiscent Confections,445292
Cerritos,CA,90703,Mac At Los Cerritos Center,446120
Elizabethtown,KY,42701,Tatu,812199
Evansville,IN,47715,Club Tabby,713940
Terre Haute,IN,47802,Fannie May Confections,445292
Santa Maria,CA,93454,Semplici Italian Eatery,722513
Auburn,WA,98001,Alley Kat,448140
Farmington,NM,87402,Turbo Graffix,323113
Alexandria,LA,71301,Sweet Scents N More,453220
Redmond,WA,98052,Evergreen State Mortgage,522292
Austin,TX,78757,Red Oak Ballroom,812990
Altamonte Springs,FL,32701,Dazzling Gold & Silver,423940
Boynton Beach,FL,33426,Bijou Brigitte,448310
Memphis,TN,38117,Sweetness Sweets,445292
Burbank,CA,91502,Make It Personal,453220
Santa Monica,CA,90401,Cabo Cantina,722511
Miami Beach,FL,33139,Quattro Gastronomie Italiana,722511
Morrow,GA,30260,Encore 6,448140
Winter Park,FL,32789,Pure Pest Management,561710
West Des Moines,IA,50266,True Style,448120
Marion,IN,46952,Jiao,448310
Altamonte Springs,FL,32701,Ancho Burrito,722511
Miami Beach,FL,33139,Soulier,448210
Wellington,FL,33414,Perfect Oil,424720
Newport,KY,41071,Comstock Valuation Advisors Inc,541618
Burnsville,MN,55306,Push Pedal Pull,451110
Oklahoma City,OK,73118,Funny Shades,446130
Saint Clairsville,OH,43950,Crafts 2000,451120
Hanover,MD,21076,Champion Outlet,424320
Harrisonburg,VA,22801,Ibrow Designer,812112
Estero,FL,33928,Dipidydawg,453910
Santa Rosa,CA,95401,Northgate Studio,812921
Opelika,AL,36801,Alumni Hall Stores,452990
Chesapeake,VA,23320,Suitable,448110
Moline,IL,61265,Exotic Imports,722513
Lynnwood,WA,98037,Champ Store 14531,451110
Grand Island,NE,68803,El Tucanzo,813910
Tucson,AZ,85741,Sams Mini Mart,445120
San Antonio,TX,78247,Inflatable Wonderland,454390
Fort Smith,AR,72903,Answers For Youth & Families,624190
Burton,MI,48509,I Need That,453998
Charleston,SC,29407,American Military Museum,712110
Miami Beach,FL,33139,Gemma,722410
Tallahassee,FL,32301,Designers Closet,236115
Tallahassee,FL,32301,Funky Planet Surf Shop,711219
Buford,GA,30519,Character World,451120
Slidell,LA,70460,Coin It Up,713120
Dalton,GA,30721,North Georgia Skate Shop,713990
San Bruno,CA,94066,Wanabe,448140
Piqua,OH,45356,Essentials Shop,812112
Burbank,CA,91502,Max XV,448140
Layton,UT,84041,Body Evolution,812990
Houston,TX,77036,Arte Y Tradicion,423940
Mccomb,MS,39648,Bromas Deli,722511
Spokane,WA,99207,Chrome Personal Training Centre,713940
Santa Clara,CA,95050,Catimini,448130
Durham,NC,27701,Ewi Technologies,541618
Las Vegas,NV,89109,Sin City Brewing Co,722410
Billings,MT,59102,Staggering Ox,722511
West Covina,CA,91790,Intimate Basic,448150
Salinas,CA,93906,FHL Styles,424320
Charlotte,NC,28211,MCK Initial Impressions,541512
Waco,TX,76710,Jungui International Trading,453998
Miami,FL,33172,Taco Vida,722511
Buford,GA,30519,Zarco Lifestyle,453998
Memphis,TN,38115,Mr Goldman Signature,448310
San Mateo,CA,94403,Roxy Underground,517210
Boynton Beach,FL,33426,Hookah Palace,453991
Myrtle Beach,SC,29572,Kendalls Hallmark,453220
Prescott,AZ,86303,Allie Ollie,448120
Bozeman,MT,59718,Quest Integration,443142
